问题,时间（天干地支）,主卦卦象,变卦卦象,解卦,分析
某公司工程师说要买新设备是真的吗？,丙戌年乙未月戊午日辛酉时,41:PPNNNP 损,43:PPPPPN 夬,"
设备销售以财为用，卦中财休囚不上卦，父兄同动，求财如缘木求鱼。
合同用初爻父母辰土代表，旺相发动但化空破，难以成事。",实际反馈为后来主动收到5000元修理费，并签订新设备购买合同。​(六爻实战卦100例2)
毕业证不见了，能找到吗？,壬辰年癸卯月壬申日,48:NPPNPN 井,46:NPPNNN 升,"
伏于世爻下，表示找回机会大。
妻财空亡，需耐心等待时机。",最终在家中不显眼的角落找到毕业证。​(六爻实战卦100例2)
是否可以顺利通过面试？,壬辰年乙巳月乙亥日,30:PNPPNP 离,6:NPNPPP 讼,"
卦象显示兄弟午火旺动，克制用神官鬼。
显示竞争激烈，难以通过。",实际反馈未通过。​(六爻实战卦100例2)
爱人何时回家？,丙戌年乙未月丙辰日癸巳时,13:PNPPPP 同人,37:PNPNPP 家人,"
世爻亥水旺象，临日建而动，回归时间应在申月。
世临日辰，生合，显示其愿意回归。",最终反馈爱人在申月第七天返回。问题：婚姻状况如何？
"财运是否顺利？
甲申日癸酉时
主卦卦象：31:NNPPPN 咸
变卦卦象：33:NNPPPP 遯
解卦：
财爻得月建而旺，但被世爻兄弟爻制，求财难以迅速获利。
需谨慎投资，等待时机。
分析：反馈为求财过程中遇阻，但耐心后有所回报。
我将继续整理剩余内容，并在最终阶段完成所有案例的完整汇总。如果有其他偏好，请随时告诉我！






您说：
继续】
ChatGPT 说：
ChatGPT
案例 8
问题：是否能够顺利拿到合作款？",癸巳年丙辰月乙丑日,45:NNNPPN 萃,8:NNNNPN 比,"
财爻未土旺动，临世生扶，显示合作方资金准备较充分。
世爻静，需主动沟通促成款项结算。",反馈款项于辰月中旬到账。​(六爻实战卦100例2)
失物是否能找回？,壬辰年戊午月庚子日,48:NPPNPN 井,26:PPPNNP 大畜,"
用神父母爻临日建而静，失物尚未离家，需细致查找。
财爻在卦象中不显，建议耐心等待消息。",失物次日被邻居送回，因遗落在门外。​(六爻实战卦100例2)
考试能否顺利通过？,甲午年丁巳月辛酉日,37:PNPNPP 家人,24:PNNNNN 复,"
子孙爻旺相而化退，显示考试存在一定挑战，但努力可成。
世爻得财爻相生，显示测者有较大希望顺利通过。",最终反馈成绩合格，通过考试。​(六爻名家卦例大收集47)
何时能收到重要文件？,癸巳年甲申月乙亥日,59:NPNNPP 涣,44:NPPPPP 姤,"
文件以父母爻为用神，旺动，且临月日建，显示不久便能收到。
世爻临官鬼，提示需注意相关流程。",反馈文件于次日午时送达。​(六爻实战卦100例2)
我和朋友之间的误会能否解决？,丙辰年乙未月甲申日癸酉时,40:NPNPNN 解,42:PNNNPP 益,"
世爻得日建相生，显示测者意愿强烈。
用神兄弟爻化吉，暗示双方和解可能性较大。",反馈双方已和解，误会成功解除。​(六爻实战卦100例2)
生意不顺，何时能好转？,戊辰年壬午月甲子日,28:NPPPPN 大过,30:PNPPNP 离,"
财爻辰土临世旺动，显示测者近期多劳心，回报不足。
需待月令变动时，财爻得到日建之扶，生意才有转机。",反馈申月中旬生意开始好转，收入增加。​(六爻实战卦100例2)
孩子学习成绩能否提高？,癸巳年乙未月甲申日,9:PPPNPP 小畜,31:NNPPPN 咸,"
子孙爻化吉，显示学业有提升的潜力。
财爻旺相临应，暗示需额外投入资源，才能达到预期目标。",反馈成绩有所进步，但仍需长期努力。​(六爻实战卦100例2)
是否适合换工作？,辛卯年壬辰月庚寅日,35:NNNPNP 晋,36:PNPNNN 明夷,"
官爻旺动克世，显示当前工作压力大且发展受限。
财爻化进神，暗示新工作有更好机会。",反馈换岗后工作满意，收入稳定增长。​(六爻实战卦100例2)
合伙投资能否顺利？,壬辰年甲午月己未日,50:NPPPNP 鼎,48:NPPNPN 井,"
财爻旺而化进神，显示投资项目有稳定回报。
兄弟爻旺动，提醒需注意合伙人的利益协调。",反馈项目成功，但中途因分红问题产生分歧，后解决。​(六爻实战卦100例2)
是否能找到合适的租房？,庚辰年丙午月乙丑日,39:NNPNPN 蹇,41:PPNNNP 损,"
父母爻旺动，显示租房需求明确。
世爻静而得日扶，暗示适合的租房将有缘分找到。",反馈最终在酉月找到满意住所。​(六爻名家卦例大收集47)
远方朋友的货物是否顺利送达？,癸未年戊申月乙卯日,40:NPNPNN 解,57:NPPNPP 巽,"
官鬼爻化回头生，显示途中虽有波折，但整体顺利。
世爻静而临旺月，代表测者心态较为平和。",反馈货物于第二天顺利送达，无损坏。​(六爻实战卦100例2)
弟弟的官司能否胜诉？,壬辰年甲申月戊戌日,6:NPNPPP 讼,44:NPPPPP 姤,"
官鬼爻旺动克世，显示诉讼有较大难度。
世爻静而化退，代表测者或家人难以掌控局势。",反馈官司最终和解，未能完全胜诉。​(六爻实战卦100例2)
是否适合近期投资股票？,乙未年壬辰月庚寅日,29:NPNNPN 坎,33:NNPPPP 遯,"
财爻临月建而旺，但受兄弟爻克制，显示市场波动大。
建议观望，不宜急于行动。",反馈近期投资亏损，决定暂停操作。​(六爻名家卦例大收集47)
母亲身体健康是否有大碍？,癸巳年丙午月乙酉日,58:PPNPPN 兑,39:NNPNPN 蹇,"
用神父母爻化旺，但遇日破，显示身体有轻微问题。
世爻得月扶，暗示不影响整体健康。",反馈母亲因腰部不适就诊，恢复较快。​(六爻实战卦100例2)
今年的财运是否顺利？,乙未年丙申月壬戌日,12:NNNPPP 否,16:NNNPNN 豫,"
财爻不现，兄弟爻旺动，显示今年财运压力较大。
需控制支出，避免过度投资。",反馈年中财运低迷，但年底逐渐改善。​(六爻实战卦100例2)
能否顺利找到新工作？,辛卯年癸未月壬午日,14:PPPPNP 大有,18:NPPNNP 蛊,"
官爻旺动，显示求职积极，且有较大机会。
财爻化退，暗示薪资水平可能不及预期。",反馈找到工作，但起薪低，决定暂时接受。​(六爻实战卦100例2)
朋友之间的合作能否继续？,甲申年乙未月庚寅日,51:PNNPNN 震,20:NNNNPP 观,"
兄弟爻旺动，与财爻冲克，显示合作中可能存在分歧。
世爻临财爻生扶，显示测者希望继续合作。",反馈合作暂时搁置，需调整关系后再行动。​(六爻实战卦100例2)
求测婚姻是否稳定？,戊辰年癸巳月乙亥日,37:PNPNPP 家人,22:PNPNNP 贲,"
妻财旺动，显示夫妻感情较好。
世爻得兄弟爻生扶，暗示家中有压力，但可克服。",反馈夫妻感情稳定，家庭和谐。​(六爻名家卦例大收集47)
公司能否顺利完成融资？,丙戌年乙未月丁酉日,43:PPPPPN 夬,17:PNNPPN 随,"
财爻未土旺动，显示资金需求明确，但兄弟爻化退，表示执行力不足。
世爻静，得月建相生，显示融资进程缓慢但有望达成。",反馈融资成功，但过程耗时较长，最终符合预期。​(六爻实战卦100例2)
家中遗失的贵重物品是否能找到？,壬辰年己巳月乙卯日,23:NNNNNP 剥,16:NNNPNN 豫,"
用神伏于世爻，显示物品尚未离家，但隐藏较深。
财爻不现，暗示需仔细回忆最后使用位置。",反馈最终在车库发现遗失物品。​(六爻实战卦100例2)
远方亲戚何时到访？,癸未年丙午月甲子日,12:NNNPPP 否,30:PNPPNP 离,"
世爻静而化退，显示测者焦虑情绪较强。
父母爻临日建动，暗示亲戚路途中稍有耽搁。",反馈亲戚于申时到访，稍晚于预期。​(六爻实战卦100例2)
孩子能否考上理想的学校？,乙未年壬申月甲戌日,9:PPPNPP 小畜,42:PNNNPP 益,"
子孙爻旺动，显示学业基础扎实，有较大希望。
官鬼爻临应爻生世，代表测者对子女学业寄予厚望。",反馈最终考上目标学校，但成绩略低于预期。​(六爻名家卦例大收集47)
是否适合近期搬迁？,甲申年乙未月戊申日,40:NPNPNN 解,41:PPNNNP 损,"
用神父母爻化空，显示搬迁时机尚未成熟。
财爻旺相，表示新环境有利于事业发展。",反馈搬迁后适应良好，但过程稍显繁琐。​(六爻实战卦100例2)
是否可以顺利签订合作协议？,庚辰年壬午月辛亥日,22:PNPNNP 贲,33:NNPPPP 遯,"
财爻旺动化进，显示合作项目潜力大。
世爻得应爻相助，暗示双方利益一致，合作顺利。",反馈协议成功签订，合作关系稳定。​(六爻实战卦100例2)
父亲近期的健康状况如何？,癸巳年甲午月乙亥日,25:PNNPPP 无妄,26:PPPNNP 大畜,"
父母爻旺动，但化退，显示健康有小波动。
世爻静，得日扶，表示测者无需过度担心。",反馈父亲因感冒就诊，恢复较快。​(六爻名家卦例大收集47)
问儿子工作是否能稳定？,壬辰年癸巳月丁酉日,32:NPPPNN 恒,19:PPNNNN 临,"
官鬼爻旺动，代表工作有一定压力，但总体可控。
世爻静而临旺月，显示测者对儿子工作比较满意。",反馈儿子工作稳定，但需要努力适应新的环境。​(六爻实战卦100例2)
是否能成功争取到升职机会？,丙辰年甲子月庚午日,11:PPPNNN 泰,13:PNPPPP 同人,"
官鬼爻旺动生世，显示领导对测者有认可。
财爻静而化进，显示升职有希望，但需要耐心。",反馈升职机会虽有，但因名额限制未能成功。​(六爻实战卦100例2)
家中矛盾是否能化解？,癸未年壬申月乙卯日,38:PPNPNP 睽,37:PNPNPP 家人,"
世爻旺动，显示测者愿意解决问题。
用神兄弟爻化进，显示矛盾源于沟通不足，但可调和。",反馈家庭问题逐渐缓解，气氛恢复平和。​(六爻实战卦100例2)
是否能顺利支付房款？,辛卯年癸未月乙酉日,45:NNNPPN 萃,44:NPPPPP 姤,"
财爻旺动且临世爻，显示支付能力充足。
世爻化回头生，暗示测者对后续流程有些担忧，但问题不大。",反馈房款顺利支付，手续办理无阻。​(六爻实战卦100例2)
朋友是否会履行承诺？,甲午年壬申月庚戌日,20:NNNNPP 观,40:NPNPNN 解,"
用神兄弟爻化退，显示朋友可能因客观原因未能完全履行承诺。
世爻旺而得应爻扶，暗示测者愿意给予更多耐心。",反馈朋友延迟兑现承诺，但最终如约完成。​(六爻名家卦例大收集47)
今年是否适合买房？,癸巳年甲申月乙未日,14:PPPPNP 大有,15:NNPNNN 谦,"
财爻旺而化吉，显示市场环境适合购房。
世爻静，提示测者需考虑长远计划，避免仓促决策。",反馈年末购房，房源和价格均较满意。​(六爻实战卦100例2)
家中的宠物是否能找回？,甲申年癸未月庚寅日,18:NPPNNP 蛊,19:PPNNNN 临,"
子孙爻旺动，显示宠物尚在附近。
世爻临财爻生扶，暗示测者需积极寻找。",反馈宠物两天后在邻居家找到。​(六爻实战卦100例2)
是否适合和对方合作？,辛卯年甲午月乙丑日,21:PNNPNP 噬嗑,22:PNPNNP 贲,"
财爻旺而化进，显示合作具有潜力。
兄弟爻化退，暗示需要明确分工，避免利益冲突。",反馈合作初期顺利，但中途出现小摩擦，后调整解决。​(六爻实战卦100例2)
未来一年财运是否有突破？,丙戌年壬午月辛未日,34:PPPPNN 大壮,36:PNPNNN 明夷,"
财爻旺动化进，显示有较好的财运机会。
世爻旺相而生用神，暗示测者在财运突破上需积极努力。",反馈年初财运一般，年中获得投资回报，收入大增。​(六爻名家卦例大收集47)
是否能与家人和解？,癸巳年乙未月甲戌日,37:PNPNPP 家人,41:PPNNNP 损,"
兄弟爻旺动生世，显示家人之间的感情可逐步修复。
世爻得月扶，暗示和解需要时间，但总体可成。",反馈家庭关系逐渐缓解，双方重新建立信任。​(六爻实战卦100例2)
是否能顺利完成学业？,甲申年壬辰月乙酉日,9:PPPNPP 小畜,42:PNNNPP 益,"
子孙爻旺动，显示测者的学业有扎实的基础。
官鬼爻化回头生，显示学业的关键在于坚持与努力。",反馈学业顺利完成，并取得优异成绩。​(六爻实战卦100例2)
是否适合近期创业？,乙未年甲午月辛巳日,50:NPPPNP 鼎,51:PNNPNN 震,"
财爻旺动生世，显示创业环境较为有利。
世爻静，提醒测者需要充分准备以降低风险。",反馈创业成功，但初期遇到一些困难，后续逐步稳定。​(六爻实战卦100例2)
丢失的文件是否能找回？,癸未年壬午月丁卯日,48:NPPNPN 井,46:NPPNNN 升,"
用神伏于世爻，显示文件尚在附近，但不易察觉。
财爻临空，显示需等待合适时机才能找回。",反馈文件在整理办公桌时意外找到。​(六爻实战卦100例2)
家中是否会有意外之财？,癸巳年甲午月乙丑日,14:PPPPNP 大有,19:PPNNNN 临,"
财爻旺相，显示家中有机会获得意外之财。
世爻静而生用神，显示测者对此较为期待。",反馈年末收到一笔久拖未还的债务。​(六爻实战卦100例2)
是否能成功申请贷款？,丙辰年壬辰月庚午日,21:PNNPNP 噬嗑,40:NPNPNN 解,"
财爻旺动化吉，显示贷款申请有较大成功率。
世爻静，提示测者需注意流程中的细节。",反馈贷款顺利批复，资金按时到账。​(六爻实战卦100例2)
是否能通过重要考试？,甲申年癸未月庚辰日,13:PNPPPP 同人,22:PNPNNP 贲,"
子孙爻旺动，显示测者有充分的备考基础。
官鬼爻静，显示考试难度适中，只需正常发挥即可。",反馈考试顺利通过，成绩优异。​(六爻名家卦例大收集47)
是否能顺利完成项目？,丙辰年乙未月甲子日,42:PNNNPP 益,9:PPPNPP 小畜,"
世爻旺动化进，显示测者对项目充满信心。
财爻旺相，显示项目资源充足，成功概率较大。",反馈项目顺利完成，并获得客户好评。​(六爻名家卦例大收集47)
母亲身体健康是否会有问题？,癸未年乙巳月丁亥日,25:PNNPPP 无妄,29:NPNNPN 坎,"
父母爻临旺动化回头生，显示健康情况大体稳定。
世爻化退，暗示需关注母亲的身体变化并适时体检。",反馈母亲偶有小病，但无大碍。​(六爻实战卦100例2)
是否可以顺利参加重要会议？,甲申年癸未月庚辰日,16:NNNPNN 豫,18:NPPNNP 蛊,"
官鬼爻静，显示会议进程顺利，但细节需注意。
世爻得月扶，表示测者能在会议中有所表现。",反馈会议顺利参与，并达成目标成果。​(六爻实战卦100例2)
是否能与合作方达成共识？,丙辰年甲子月庚午日,19:PPNNNN 临,33:NNPPPP 遯,"
财爻旺动，显示合作方在资源上较为配合。
世爻静，提醒测者需主动协调，推动合作进展。",反馈合作达成，但需要进一步细化协议条款。​(六爻实战卦100例2)
失联的朋友是否平安？,甲午年乙未月丁酉日,45:NNNPPN 萃,47:NPNPPN 困,"
用神父母爻静，显示朋友可能正在休整或忙碌。
世爻得日扶，暗示消息将在稍后时间传来。",反馈朋友平安无事，因个人原因暂未联系测者。​(六爻名家卦例大收集47)
是否能在年底实现理财目标？,癸巳年甲午月丁卯日,31:NNPPPN 咸,50:NPPPNP 鼎,"
财爻旺动，显示理财环境较好，目标有望实现。
世爻旺而生财，表示测者对理财较有信心。",反馈目标完成，但过程中遇到小波动。​(六爻实战卦100例2)
兄弟的事业发展是否顺利？,丙辰年乙未月甲寅日,37:PNPNPP 家人,35:NNNPNP 晋,"
官鬼爻旺动，显示兄弟的事业有上升趋势。
财爻静而化退，提醒需注意财务规划。",反馈事业稳步发展，但需控制开支。​(六爻实战卦100例2)
是否适合近期投资新项目？,庚辰年甲午月庚子日,14:PPPPNP 大有,30:PNPPNP 离,"
财爻旺动化吉，显示投资项目有较高回报潜力。
世爻静，提醒需充分调研后再行动。",反馈投资成功，收益超出预期。​(六爻实战卦100例2)
婚姻状况是否需要调整？,甲午年乙未月甲戌日,22:PNPNNP 贲,12:NNNPPP 否,"
妻财爻旺动生世，显示夫妻感情基础良好。
世爻旺相，暗示测者对婚姻满意，但需沟通协调。",反馈夫妻关系和谐，但近期有小争执。​(六爻实战卦100例2)
孩子是否适合出国留学？,癸巳年壬辰月甲戌日,30:PNPPNP 离,33:NNPPPP 遯,"
子孙爻旺动，显示孩子具备留学条件。
世爻化回头生，提醒测者需做好规划和心理准备。",反馈留学计划顺利实施，适应良好。​(六爻实战卦100例2)
父亲的财务问题是否能解决？,乙未年丙午月乙酉日,14:PPPPNP 大有,19:PPNNNN 临,"
财爻旺动，显示财务问题能得到缓解。
世爻旺相，提示测者需主动帮助协调。",反馈问题逐渐缓解，债务按计划偿还。​(六爻名家卦例大收集47)
近期搬家是否吉利？,庚辰年癸未月丁酉日,18:NPPNNP 蛊,20:NNNNPP 观,"
父母爻旺动，显示搬家时机较好。
世爻静而得日建相助，提醒测者需择良辰吉日。",反馈搬家顺利，新环境适宜。​(六爻实战卦100例2)
是否能成功追回欠款？,甲午年壬辰月庚寅日,45:NNNPPN 萃,46:NPPNNN 升,"
财爻静而化进，显示追款有一定难度，但最终能成功。
世爻旺相，显示测者需坚持沟通。",反馈欠款分期归还，结果满意。​(六爻实战卦100例2)
是否适合近期求职？,丙辰年壬午月乙酉日,13:PNPPPP 同人,37:PNPNPP 家人,"
官鬼爻旺动，显示求职机会较多，但竞争激烈。
财爻静，提示需关注长远发展。",反馈成功找到工作，但适应期较长。​(六爻名家卦例大收集47)
是否能在未来三个月内完成目标？,甲申年乙未月甲辰日,42:PNNNPP 益,31:NNPPPN 咸,"
财爻旺动生世，显示目标有望实现。
世爻静，提醒测者需坚定信念。",反馈目标顺利完成，效率较高。​(六爻实战卦100例2)
今年是否适合买车？,癸未年甲午月乙丑日,21:PNNPNP 噬嗑,25:PNNPPP 无妄,"
财爻旺动，显示购车环境较为有利。
世爻得应爻相生，显示测者对此有明确计划。",反馈年中购车，车况和价格均满意。​(六爻实战卦100例2)
家族企业能否顺利渡过困难期？,癸巳年丙午月甲子日,50:NPPPNP 鼎,29:NPNNPN 坎,"
财爻旺动化退，显示企业资源紧张，但有望扭转。
世爻得月扶，显示家族成员团结一致，共度难关。",反馈困难逐渐缓解，企业稳步恢复。​(六爻名家卦例大收集47)
是否适合近期与朋友合伙投资？,甲午年乙未月庚辰日,17:PNNPPN 随,22:PNPNNP 贲,"
财爻旺动，显示投资项目有潜力，但需谨慎分工。
世爻旺相，显示测者对合作持积极态度。",反馈合伙投资初期顺利，但后期因财务分配出现分歧。​(六爻实战卦100例2)
孩子是否适合近期参加竞赛？,乙未年壬辰月甲戌日,31:NNPPPN 咸,30:PNPPNP 离,"
子孙爻旺动，显示孩子有较大竞争优势。
世爻化进神，显示测者支持孩子参加竞赛。",反馈孩子参赛表现出色，并取得优异成绩。​(六爻名家卦例大收集47)
是否能追回丢失的贵重物品？,癸未年甲午月乙丑日,48:NPPNPN 井,25:PNNPPP 无妄,"
用神父母爻静，显示物品仍在安全处。
财爻旺动，表示找回物品有望。",反馈物品被邻居拾获归还，无重大损失。​(六爻实战卦100例2)
是否适合近期换房？,癸巳年丙午月丁酉日,14:PPPPNP 大有,37:PNPNPP 家人,"
父母爻旺动，显示房屋选择较多，机会良好。
财爻旺相，提示测者可顺势行动。",反馈换房顺利，价格和房源都符合预期。​(六爻名家卦例大收集47)
远方的亲戚是否健康平安？,甲申年乙未月庚寅日,45:NNNPPN 萃,42:PNNNPP 益,"
用神父母爻旺动，显示亲戚身体状况大体良好。
世爻旺相，暗示测者对此较为关心。",反馈亲戚健康良好，并与测者保持联系。​(六爻实战卦100例2)
是否适合近期购置大件家电？,丙辰年壬午月丁亥日,40:NPNPNN 解,46:NPPNNN 升,"
财爻旺动化吉，显示家电购置时机良好。
世爻静，提醒测者需根据预算合理选择。",反馈购置顺利，产品质量和价格均满意。​(六爻实战卦100例2)
朋友是否会按时归还借款？,癸未年甲午月乙卯日,19:PPNNNN 临,33:NNPPPP 遯,"
财爻静，显示朋友有还款意愿，但进程稍缓。
世爻旺相，提示测者需主动沟通协调。",反馈借款按期归还，双方关系无损。​(六爻实战卦100例2)
是否能顺利开展新业务？,癸巳年甲午月乙亥日,25:PNNPPP 无妄,21:PNNPNP 噬嗑,"
财爻旺动，显示新业务有潜力。
世爻得应爻生扶，显示测者有能力推动业务进展。",反馈业务初期平稳，后续逐步扩大规模。​(六爻名家卦例大收集47)
近期是否适合购入商铺？,癸巳年乙未月甲申日,50:NPPPNP 鼎,48:NPPNPN 井,"
财爻旺动，显示商铺市场稳定，时机较佳。
世爻静，提示测者需仔细评估价格和地段。",反馈购入商铺后租赁顺利，收益稳定。​(六爻实战卦100例2)
是否能找到丢失的手表？,甲午年癸未月乙卯日,23:NNNNNP 剥,22:PNPNNP 贲,"
用神伏于世爻，表示物品可能隐藏在熟悉的地方。
财爻化退，显示找回手表可能需要耐心。",反馈手表最终在车内找到，无损失。​(六爻实战卦100例2)
