id	open	Q	A	Interp	Primary_id	Alter_id	Day_Stem	A_length	Day_Branch	Month_Branch
153	0	Can the overseas cooperation project be successfully advanced?	Feedback cooperation progresses according to plan, receiving favorable international evaluation.	The Wife and Wealth line is prosperous and active, indicating that the resource conditions for the cooperation project are in place. The world line is prosperous and suggests that the inquirer needs to focus on the details of cross-cultural communication.	40	22	geng	96.0	yin	wei
154	0	Is it suitable to initiate a home renovation plan in the near future?	The renovation feedback showed that it was completed on time, and the overall family satisfaction is high.	The Parents line is thriving and moving, indicating that the conditions for renovation are mature. The self line is still and transforms into decline, suggesting the need to control the budget to ensure the quality of the renovation.	45	33	ding	106.0	you	wu
155	0	Can the issue of inventory backlog be resolved in a timely manner?	Feedback inventory gradually being cleared, with a significant increase in sales. 	The line representing Wife and Wealth is strong and active, transforming into progress, indicating that issues with inventory can be resolved by adjusting sales strategies. The line representing the self is strong and flourishing, suggesting that the inquirer needs to seek innovative breakthroughs in channels.	14	9	geng	82.0	chen	wei
156	0	Can the internal team training plan be completed on schedule?	The feedback training program has been completed, and the team's skills have significantly improved.	The Parents line is active and prosperous, indicating abundant training resources. The self line is stationary but supported by the day, suggesting that the querent needs to enhance time management.	31	50	geng	100.0	chen	wei
157	0	Can we successfully adjust the product pricing strategy?	Feedback adjustments have resulted in a positive market response, with an increase in sales.	The moving line of Wife and Wealth is prosperous and transforms auspiciously, indicating that adjustments in pricing strategy meet market demand. The line representing the subject becomes weak, suggesting that the querent needs to comprehensively consider competitors and customer feedback.	22	18	geng	92.0	yin	wu
158	0	Is it suitable to purchase equipment in the near future?	The feedback device purchase went smoothly, and the usage effect is good.	When the line of Parents is active and prosperous, it indicates excellent performance of the equipment and favorable purchasing conditions. The main line being static and transforming into auspicious suggests that the questioner should conduct a thorough evaluation of the supplier.	45	25	yi	73.0	hai	wu
159	0	Can we successfully reach a cooperation with our competitors?	The cooperation feedback has been successfully achieved, with both parties maintaining a harmonious relationship.	The line of wealth is prosperous and active, indicating that cooperation is beneficial to both parties. The representing line is static but transforms into advancement, suggesting that the inquirer needs to show sincerity and strengthen the establishment of trust.	13	19	geng	113.0	chen	wei
160	0	Is it possible to successfully complete the annual strategic plan?	The strategic feedback plan was successfully approved, and the company's goals are clear.	The line representing Parents is vigorous and active, indicating that the planning and resource preparation are ample. The line representing the subject is prosperous, suggesting that the inquirer needs to focus on the detailed implementation of the plans.	40	50	geng	89.0	chen	wei
161	0	Can the new business channels be successfully expanded?	Feedback on the success of developing new business channels, with a significant growth in the customer base.	The line of wealth and wife is prosperous and active, indicating a significant opportunity to expand through new channels. The line representing the self is prosperous and harmonious, suggesting that the querent should focus on market research and long-term planning.	42	30	ding	108.0	mao	wu
163	0	Will it be possible to successfully sign an international cooperation agreement?	The feedback agreement was signed smoothly, opening up new markets for the company.	The Wife and Wealth line is active and transforms auspiciously, indicating that the conditions for a cooperation agreement are mature. The Self line is strong and favorable, suggesting that the querent needs to pay attention to cultural differences and legal issues.	14	33	yi	83.0	hai	wu
164	0	Can the family financial pressure be resolved in a timely manner?	Feedback suggests that the family's financial situation is gradually improving, and the burdens have significantly eased.	The line of Wife and Wealth is prosperous and active, indicating a significant possibility of increased income or reduced debt. The line representing the matter at hand is static but transforming forward, suggesting that the querent needs to strictly control expenses.	25	45	geng	121.0	chen	wu
165	0	Can the new product trial sale proceed smoothly?	The feedback from the trial sale was successful, market acceptance was high, and orders increased.	The Wife and Wealth line is actively moving, indicating that the trial sales market feedback is positive. The subject line transforms and retreats, suggesting that the inquirer needs to pay attention to product pricing and user needs.	42	19	geng	98.0	yin	wei
166	0	Can the house repairs be completed on time?	The feedback and repairs were completed on schedule, with excellent quality. (Sixty-Four Hexagrams Practical Divination: 100 Cases Volume 2)	"When the Parents line is prosperous and active, it indicates that the construction conditions are favorable.   
When the Self line is prosperous and influential, it suggests that the querent needs to urge the construction team to ensure the project timeline."	45	13	geng	140.0	chen	wei
167	0	Can the business dispute be resolved smoothly?	Feedback and disputes eventually resolve, and business partnerships are restored. (Sixty-four Hexagrams Practical Examples 100 Cases 2)	The Demons line is strong and moving, indicating that disputes have the potential to be resolved, but time coordination is necessary. The self line is still and transforms into auspiciousness, suggesting that the querent should strive to find mediation solutions.	31	50	geng	135.0	yin	wu
169	0	Can the government subsidy be obtained as scheduled?	Feedback subsidies were received on time, injecting capital into the company. (One Hundred Hexagram Examples for Practical Use 2)	The Wife and Wealth line is active and prosperous, indicating that the application materials for assistance are complete and the conditions are met. The host line is static but transforms into advancement, suggesting that the inquirer needs to promptly follow up on the review's progress.	25	22	ding	129.0	you	wu
171	1	Analyzing my fate and life destiny	Good interpersonal relationships, many friends, favorable conditions from parents, capable.	Sibling represented by the element fire at the noon time feeds the world, Parents represented by the element wood at the tiger time overcome the restrictive spirit represented by soil at the dragon time, preventing the soil at the dragon time from draining the fire at the noon time, bringing good fortune.	4	7	ren	91.0	shen	zi
172	1	Annual Fortune	Career is going smoothly, with a new job opportunity.	The wood of mao generates the fire of si, supporting the Demons, and the fire is strong. The wood of mao and the soil of xu combine, enhancing the strength of xu soil.	12	23	xin	53.0	chou	hai
173	1	Take a look at the situation regarding marriage and children.	Many friends, do not like children. Good job. Well-educated. Wife does not provide much help to you.	Sibling on the soil of Xu restricts the main line, Children in the metal of Shen is the adverse spirit, Wife and Wealth do not appear on the hexagram, and the later heaven wealth is also empty, indicating no external wealth. The main line is effectively constrained by the fire of Wu and the soil of Xu, Parents in the fire of Wu are the favorable utility spirit actively restraining the main line, Wife and Wealth do not appear on the hexagram, and the later heaven wealth is again empty, not dissipating the main line.	10	61	gui	100.0	chou	xu
179	1	When can the criminal suspect be captured?	On February 29th (wuyin), the case was solved, and the criminal suspect was apprehended.	The line of Children is supported by the monthly and daily branch, thus its strength is strong, and the Demons are subdued, therefore the case is resolved.	60	3	xin	88.0	wei	yin
180	1	Partnership investment project	Friends are trustworthy, united in purpose. Official matters may be difficult to pass.	The Sibling represented by soil in Xu, moving and entangling with the main line, is auspicious. The Demons represented by wood in Yin, being supported by the monthly build and moving to assist the main line, is inauspicious.	22	32	gui	86.0	wei	mao
182	1	The matter of divination: Marriage	There is a boyfriend with an ambiguous relationship. He likes you and will get married.	Mao wood clashes with You gold, restraining and depleting the ruling line, resulting in auspiciousness. The third line has Demons with You gold cooperating with the ruling line, which drains the ruling line but brings auspiciousness. The sixth line hosts Demons with You gold with the Black Tortoise, indicating ambiguity.	46	5	jia	87.0	zi	yin
183	1	Divination: Luck	Work is satisfying, there is joy in written matters, served as a class leader in school, and there are not many genuine friends.	The governing line is under the influence of the Wife and Wealth lines of wood in yin and mao, which are beneficial due to their draining effect. The mao wood aligns with the grand cycle, and the Parents of xu soil enhance the strength, thereby allowing the draining effect to empower the governing line. The Demons line of si fire is flourishing and is beneficially bound with the hidden spirit Sibling of shen gold. The hidden spirit Sibling of shen gold is considered an obstructive spirit.	23	52	ji	128.0	si	yin
184	1	Divining which day is suitable for obtaining vehicle permits.	On the days of Chou and Chen, soil is strong enough to control water and things can be accomplished.	The Parents of water in Hai act as the adverse spirit.	57	59	ren	100.0	xu	zi
186	1	Divination of the Daily Financial Fortune	One loses one's own wealth, yet gains external wealth.	The inner hexagram has Wife and Wealth in water of Hai, positioned at the peak of prosperity, moving to produce the representing line, which is unfavorable. The outer hexagram has Wife and Wealth in water of Zi, being void for ten days, which is favorable.	22	27	wu	54.0	wu	zi
187	0	Will I be elected in the workplace election tomorrow?	The main candidate has too few votes to be elected.	The Parents in yin wood serve as the hidden adversarial spirit, secretly moving to give life to the representing line.	6	6	bing	51.0	shen	hai
188	1	Ask when a friend can approximately arrive?	The obstructive spirit is being countered, the person arrives.	In the hour of hai, the restrictive spirit is countered by sibling fire of si.	50	64	gui	62.0	chou	hai
189	1	Divination Topic: Personal Situation	Friendship is average, appearance is rather delicate, good at studying.	The Sibling Soil of Xu is disrupted by the daily construction. The Children's Metal of Shen drains the generation to advantage. The Parents' Fire of Wu is present in the line, draining and consuming.	34	55	bing	71.0	chen	zi
191	1	The matter being divined: Fortune	There is a government position, work is unsatisfactory.	In the year 2000, the soil of chen clashes with and overcomes the line of the self, which is auspicious. In 2001 and 2002, the flourishing fire gives life to the line of the self, which is not auspicious. The demon of wu fire is present in the line to restrain it.	1	6	ji	55.0	mao	xu
194	1	When will the unit have a physical examination?	Physical examination organized for personnel on the day of yÇwÃ¨i.	The medical examination requires the participation of a doctor. The Children, represented by the soil in the current period, are temporarily absent. Avoid carrying out the medical examination on a day when the Sibling, represented by the fire of the horse, intersects and restricts the unfavorable spirit.	56	50	xin	65.0	mao	mao
195	1	Divination Topic: Luck and Fortune	With the help of friends, work is not going well, leading to financial loss.	In the year of yimao wood and jimao wood, the influence counteracts and exhausts the main line. In the year of wuwu fire, it supports the main line, which is inauspicious. In the year of weitu soil, it exhausts the main, indicating fortune.	42	54	yi	76.0	wei	mao
198	0	Is there profit in opening a shop?	The business of opening the shop is slow, resulting in a financial loss.	Wife and Wealth fire of the noon acts as the unfavorable spirit submerged below the generations, constructing the day, indicating financial loss.	63	57	wu	72.0	wu	shen
199	1	Will the business partner call tonight?	No phone call will come.	The fifth line parents fire in the sign of si is at rest and also void for ten days, which is unfavorable.	53	57	ren	24.0	yin	mao
200	1	Will the inspection from the higher authorities have an impact on oneself?	The inspection from the superior unit has no influence on oneself.	Demons in the soil of the Xu are hollow and do not harm the primary line, indicating auspiciousness. The response line Demons in the soil of the Chou give life to the primary line, indicating auspiciousness.	55	55	xin	66.0	wei	wu
202	1	Inquiring about recent health conditions?	The lungs are diseased.	Wife and Wealth represented by shen gold, as an inauspicious deity, moves to give benefit to the ruling line.	13	30	bing	23.0	shen	wei
203	0	Is there wealth in opening a store?	After starting the business, there has been a continuous loss of wealth.	The Wife and Wealth line of wood in the stem of mao is concealed. The flying entity is entangled by the bond of the monthly branch. The Sibling's gold in the stem of you moves to overcome the Wife and Wealth's wood in the stem of mao, indicating a financial loss.	15	18	bing	72.0	shen	wei
204	1	When will the mailed book be received?	On the day of Xu, at the time of Shen, a letter was received.	On the day of Xu, Wife and Wealth Chou soil are restrained and diminished, unable to overcome Parents Hai water.	46	46	ren	61.0	chen	wei
205	0	Will the unit send someone to a bad position, and would they go willingly?	Unable to transfer oneself, colleagues will inevitably be transferred.	The Demons of yin wood move to overcome the ruling line, while the Sibling of wei soil represents colleagues. When in a cycle of void, it does not effectively overcome the ruling line, which is unfavorable.	43	63	ren	70.0	chen	wei
206	1	When will the house be sold?	The money from selling the house on a You day is received.	Parents represented by the fire of si exit the void and are linked with the day establishment, restricting the self yao. The gold of you combines with the forbidden spirit, the soil of chen, also restricting. The wood of yin is in the void for the ten-day cycle. Parents represented by the fire of si are exposed. The Wife and Wealth represented by the water of zi receive the life force from the day establishment.	5	5	ji	58.0	hai	mao
207	1	Does investing in leasing storefront property yield wealth?	Investment without wealth or consumption leads to financial loss.	The Sibling, represented by You gold, is active and gives birth to the generation yao represented by Hai water, while the Wife and Wealth represented by Mao wood, being empty in the cycle, poses a restriction.	15	52	xin	65.0	hai	you
168	0	Is it possible to smoothly arrange extracurricular activities for the children?	Feedback on the arrangement of activities is satisfactory, and the children show enthusiasm.	The Children line is active and strong, indicating that extracurricular activity arrangements are abundant and suitable for the child. The main line is static, suggesting that the querent needs to coordinate schedule arrangements with the child's interests.	42	31	ding	92.0	mao	wu
72	0	Will there be any health issues with the mother's body?	Feedback from the mother occasionally indicates small illnesses, but they are of no great concern.	The Parents line is in a strong position and changes to generate life once more, indicating that health conditions are generally stable. The current line transforms to retreat, suggesting the need to pay attention to the mother's physical changes and conduct timely health check-ups.	25	29	ding	98.0	hai	si
119	0	Is it suitable to transfer the shop I currently own in the near future?	The feedback was that the shop was successfully transferred, with the price meeting expectations.	The Wife and Wealth line is prosperous and active, indicating a high success rate for transferring ownership of a shop. The Self line is static, suggesting that the inquirer needs to choose a suitable buyer to ensure maximum benefit.	14	33	geng	97.0	shen	wei
115	0	Can relatives provide timely financial support?	The feedback funds will be credited in the second month, solving the urgent problem.	The Wife and Wealth line is prosperous and active, indicating that relatives have the ability to provide support. The focal line transforms into retreat, suggesting that funds may require a longer time to gather.	25	18	ding	84.0	you	wu
76	0	Can the financial goals be achieved by the end of the year?	Feedback target completed, but encountered minor fluctuations in the process.	The line of wealth is thriving and moving, indicating a favorable financial situation with the potential to achieve goals. The main line is vigorous and supports financial endeavors, suggesting that the seeker has considerable confidence in managing finances.	31	50	ding	77.0	mao	wu
47	0	Is the marriage stable?	Feedback from the example divination case shows that the marital relationship is stable and the family is harmonious.	"Wife and Wealth are flourishing and active, indicating good marital affection.  
The self line is supported by the Sibling line, implying there is pressure at home, but it can be overcome."	37	22	yi	117.0	hai	si
149	0	Can financing solve financial difficulties?	Feedback on financing was successfully completed, and the enterprise restored its cash flow.	The line of Wife and Wealth is vigorous and changing into advancement, indicating a higher success rate in financing. The line of the world is still, suggesting that the querent needs to pay attention to the needs and terms of the investors.	14	42	geng	92.0	yin	wei
99	0	Can the company successfully sign a contract with a major client?	The feedback indicates that the contract was signed smoothly, bringing considerable profit to the company.	The Wife and Wealth line is prosperous and active, indicating favorable client resources. The self-line is strong, suggesting the one performing the divination is actively promoting the advancement of the contract.	42	9	geng	106.0	wu	zi
177	1	Consulting about my son's competition.	There are many competitors, and although your son has strength, but he lacks confidence.	The Sibling wood of the yin branch is an inauspicious spirit and is activated, while the Parents of water in the zi branch are empty during the ten-day cycle (in the yin month, water is abundant) and reside on the responding line.	25	10	ren		xu	yin
197	1	When will my wife recover from fever?	The body shows some improvement, fully recovered on the day of Zi.	On the days of shen and you, the Wife and Wealth symbol represented by chou soil supports and nourishes the main line. On the day of zi, the chou soil is tied through union, indicating auspiciousness.	28	28	gui		mao	chou
176	1	Ask about my health condition	Most likely to develop liver and gallbladder illnesses.	The line representing the world is suppressed by the concealed spirit of the Parents, and the wood of mao exhausts it.	56	16	ding		si	yin
201	1	Can partnering with my cousin to sell lottery tickets make money?	Obtained the help of siblings, but within the hexagram, it is restricted, no wealth can be earned, resulting in busy efforts for nothing.	Wife and Wealth, noon fire as the unfavorable spirit, Sibling, rat water moving to support the main line.	3	8	ji		hai	hai
174	1	Ask about family status	The couple currently has a strained relationship. The wife's appearance is average, and her work ability is not strong.	Wife and Wealth as wood in Yin is the unfavorable element, Wife and Wealth as wood in Yin is in a prosperous position.	33	17	ding		si	yin
192	1	Divining Luck	In the month of YÃ­n, there will certainly be a promotion at work.	Demons in the stem of yin wood are situated in the authoritative position of the month and daily cycle, close to the ruling line, exerting a beneficial control, leading to a very auspicious effect.	11	11	jia		yin	yin
22	1	When will the loved one return?	It should return when the original spirit is weak, estimated to be in the month of Chou.	The active element is at Shen, giving life to the self. During the Shen month, it should return, but in this hexagram, the day and month represent the original spirit, with all six lines quietly moving to give life again, transforming into a return to life. The original spirit is somewhat excessively strong; it should return when the original spirit is weak, likely during the Chou month, when the active element enters the tomb and impacts the changing line.	13	30	bing		chen	wei
54	1	How is father's health condition recently?	The father got cold and recovered relatively quickly.	The Parents line is active and strong, but it transforms into retreat, indicating minor fluctuations in health. The self line is quiet but supported by the day, suggesting the inquirer need not worry excessively.	25	26	yi		hai	wu
9	1	Analysis of Wealth Fortune	The hexagram suggests that the current emphasis should be on accumulation and caution against taking risks. If you need to start a new project, it is advisable to control risks and patiently wait for a better opportunity for financial luck.	The line of wealth is in a state of emptiness and is broken and restrained by the month. Seeking wealth requires stability as the main principle, avoiding blind risks or investments. The hexagram indicates that current financial luck is rather weak, and it is advisable to conserve wealth. It is not suitable for large-scale investment at the moment.	22	53	jia		shen	chen
175	1	Ask my father's health	More related to the cervical spine and head.	The Parents fire in Si is depleted by the initial yao soil in Wei, with Wei soil governing the cervical vertebrae and head.	2	8	ding		si	yin
196	0	Divining whether the endeavor to start a business with a sibling will succeed or not?	This matter cannot be accomplished, but it will not have any adverse effects on Sibling either.	The top line Sibling soil at Xu is harmed by the monthly establishment of Chou soil, reducing power and is not auspicious. The third line Sibling soil at Chou flourishes and supports the hexagram line, which is not auspicious, but is entangled by the daily establishment of water at Zi, moving the responding line to counteract.	10	12	geng		zi	chou
14	0	Can the project bid be successful?	The hexagram indicates no obvious support from the wealth line, and the 'useful god' is being overcome and conflicted, making it difficult to succeed.	The hexagram of Feng Ze Zhong Fu has Fire below and Mountain above. In analysis, the Parents line is used as the useful spirit; the Parents line governs contracts and written documents. Within the hexagram, the Parents line is inactive and imprisoned, thus the bid was unsuccessful.	61	42	gui		si	mao
16	0	Can the documents be processed well?	The Parents line is prosperous and mutually generates the Subject; it indicates that documents and writings can eventually be completed, and it is advisable to handle them early.	In the hexagram, Parents are important as the useful deity. They are active, supporting the self-line through the monthly build, indicating that the documents can be successfully completed.	59	60	ren		yin	shen
17	0	Can the teacher-student relationship continue?	The line of the hexagram relating to the army offers insufficient support, with the ruler of the hexagram being overcome by the day's earthly branch, indicating that relationships may be coming to an end.	The hexagram image is unfavorable, the line representing the subject is being overcome, the relationship between teacher and student is changing, and ultimately it is feared to be unlikely to last long.	51	63	geng		chen	wu
190	0	Will the interview go as expected?	The interview was unsuccessful.	The demon, represented by metal in the monkey branch, as the significator, is disrupted by the day's establishing clash and is also weakened by the activation and vulnerability of the six lines in the dog branch, which is unfavorable.	25	17	geng		yin	mao
178	0	Will the man's pursuit of his lover succeed?	It won't work out.	Wife and Wealth Wood in Yin is initially a favorable element in a prosperous state, but it gets activated, and then further enhanced by the Demons Fire in Wu, which moves and transforms to drain and benefit the world line. Wife and Wealth Wood in Yin thus plays a negative role in the hexagram.	1	9	geng		wu	yin
8	0	How to successfully set up a stall somewhere? Can it be approved or not?	The changing line of Children indicates that the matter may eventually succeed, but the current resistance is significant, requiring flexible responses. It is advised to prepare documentation in advance, communicate with relevant departments, and strive to submit the application at a favorable opportunity.	The hexagram is unfavorable. Although the Children line is active, it is subject to emptiness, which may hinder the handling of the stall-related matters. It is advised to make thorough preparations and patiently wait for the right opportunity before taking action.	3	29	gui		mao	chen
185	0	Is the annual vehicle inspection at the vehicle management office going well?	The vehicle's annual inspection was successfully processed.	Parents with You gold serving as the favorable useful spirit move to give life to the self line, which is auspicious.	49	38	ding		hai	hai
193	0	Will this business cooperation be successful?	Because the demons fire of Si is an unfavorable god, cooperation is difficult to achieve and progress is slow.	"The responsive line pertains to the other party. The responsive line ""Demons"" represented by si fire is in a void during the ten-day cycle, but it aligns and prospers by the month's establishment, moving to generate the self line."	14	34	wu		xu	mao
